Country Name,Series,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arab World,GDP per capita (current US$),250.4886429,283.2480472,328.6928704,406.8046351,758.5629983,817.3936468,987.3612878,1102.244479,1179.932809,1541.242707,2031.556177,2027.4533,1832.995192,1668.700373,1643.096681,1576.156597,1458.15664,1534.877958,1468.687422,1500.160198,2003.988071,1920.271769,2021.380943,1993.523887,1990.619536,2076.008329,2244.608037,2332.135345,2204.172534,2332.064342,2615.682751,2515.077869,2499.335429,2754.304985,3168.186426,3796.021804,4414.093398,5046.817058,6255.761156,5267.552563,6032.961957,7005.479541,7571.402403,7715.998677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,"Out-of-school children of primary school age, both sexes (number)",9497048,9734062,9678730,9678492,9762390,9685661,9521858,9557468,9641930,9462718,9369375,9466805,9547150,9578519,9436991,9491768,9427073,9307003,9298306,9519516,9297761,9469939,10640581,10705839,10077728,10563245,9866551,9799453,9780804,9209765,8919689,8528926,8212014,7853612,7694678,7746586,7756665,7294004,6940479,6800951,6389977,6612852,6635164,7112736,7478493,7509429,7567118,7438706,7486016,7677399,NA,NA,NA,NA
Arab World,"Out-of-school children of primary school age, female (number)",5905431,6063337,6066683,6084910,6169901,6099983,6043502,6061221,6109132,5954580,5876602,5912121,5933725,5929597,5868390,5887056,5830530,5754181,5720246,5855129,5655649,5715658,6501987,6509026,6041449,6401448,5878331,5863862,5777100,5438239,5231112,4970814,4752694,4512213,4419682,4430324,4403007,4133425,3925417,3851198,3611490,3675857,3573783,3813221,3960807,3965433,3961725,4002040,4020699,4092747,NA,NA,NA,NA
Arab World,"Out-of-school children of primary school age, male (number)",3591617,3670725,3612047,3593582,3592489,3585678,3478357,3496246,3532798,3508137,3492774,3554684,3613424,3648922,3568601,3604712,3596543,3552822,3578060,3664387,3642111,3754281,4138594,4196813,4036279,4161797,3988220,3935591,4003704,3771526,3688576,3558112,3459320,3341399,3274997,3316262,3353659,3160578,3015062,2949753,2778487,2936995,3061381,3299515,3517686,3543997,3605393,3436666,3465316,3584653,NA,NA,NA,NA
Arab World,"Out-of-school adolescents of lower secondary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424311,4993659,5247540,5142454,5280483,5265092,5588083,5426830,5612540,5554913,5922676,5950681,5832520,5786334,5762535,5630738,5516614,5425368,5280529,5363109,5171685,5007524,5006817,5145506,5020636,4716780,4699716,4712541,4452812,5076422,4672894,4528490,4423150,4480870,4340008,4228875,NA,NA,NA,NA
Arab World,"Out-of-school adolescents of lower secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3349807,3051382,NA,NA,NA,NA,NA,NA,NA,3353496,3572579,3586476,3496341,3453286,3428640,3348543,3289949,3213350,3100750,3117182,3031244,2917798,2877670,2966254,2880592,2675080,2616217,2580041,2431779,2752155,2555278,2477715,2407318,2439415,2377930,2319647,NA,NA,NA,NA
Arab World,"Out-of-school adolescents of lower secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074504,1942276,NA,NA,NA,NA,NA,NA,NA,2201418,2350098,2364205,2336179,2333048,2333894,2282196,2226664,2212018,2179780,2245927,2140442,2089726,2129146,2179252,2140045,2041700,2083498,2132500,2021033,2324268,2117616,2050775,2015832,2041455,1962077,1909227,NA,NA,NA,NA
Arab World,"Out-of-school youth of upper secondary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9215571,9235658,9135846,9172327,9073291,8766439,8751084,8880322,9123974,9069613,8765557,8794044,8557158,8571780,8625406,8723315,8578352,8614871,8510909,8499550,8481725,NA,NA,NA,NA
Arab World,"Out-of-school youth of upper secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4835448,4848355,4802888,4816422,4762830,4628050,4623663,4678310,4798392,4759017,4590608,4567922,4419184,4369132,4432573,4544878,4484669,4534659,4499161,4491211,4477490,NA,NA,NA,NA
Arab World,"Out-of-school youth of upper secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4380123,4387303,4332958,4355906,4310461,4138389,4127421,4202012,4325583,4310596,4174949,4226122,4137974,4202648,4192833,4178437,4093683,4080212,4011748,4008339,4004235,NA,NA,NA,NA
Arab World,"School age population, primary education, both sexes (number)",21808241,22373322,22923984,23503908,24096230,24683251,25244551,25894232,26578993,27268210,27891678,28508215,29150385,29848855,30591206,31362785,32139326,32971539,33858166,34778938,34409298,35877635,36726325,37544576,38289406,38918517,39395584,39817996,40219533,40444639,40762651,41106855,41376786,40737906,40996682,42898749,43069780,43255465,43485946,43170287,43574209,44053653,44555500,45201453,46834491,47693990,48647321,49704051,50805379,52144000,NA,NA,NA,NA
