Country Name,Series,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,GDP per capita (current US$),156.5189394,159.5675785,135.3173083,143.1446495,173.6537646,186.5108971,197.4455076,224.2247973,247.3541063,275.7381976,272.6552857,264.1113175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.4264945,190.6840088,211.3819695,242.0313792,263.7337347,359.69348,364.6604654,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385,520.8966027,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school children of primary school age, both sexes (number)",NA,NA,NA,NA,1445969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school children of primary school age, female (number)",NA,NA,NA,NA,888979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school children of primary school age, male (number)",NA,NA,NA,NA,556990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school adolescents of lower secondary school age, both sexes (number)",NA,NA,NA,NA,671006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school adolescents of lower secondary school age, female (number)",NA,NA,NA,NA,390170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school adolescents of lower secondary school age, male (number)",NA,NA,NA,NA,280836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school youth of upper secondary school age, both sexes (number)",NA,NA,NA,NA,659764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1398243,NA,NA,NA,NA,NA,1154238,1299726,1388520,1496067,1494263,1481390,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school youth of upper secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744554,NA,NA,NA,NA,NA,714037,786994,829947,876751,882909,885623,NA,NA,NA,NA,NA
Afghanistan,"Out-of-school youth of upper secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653689,NA,NA,NA,NA,NA,440201,512732,558573,619316,611354,595767,NA,NA,NA,NA,NA
Afghanistan,"School age population, primary education, both sexes (number)",1734266,1789990,1852058,1916185,1975967,2025268,2071032,2116155,2153882,2175354,2174280,2147777,2111398,2071319,2034181,2003734,1983659,1980721,2002218,2056509,2143535,2290373,2486505,2702567,2903600,3069364,3197290,3290566,3369485,3459800,3575603,3704575,3866866,4049836,4232735,4402471,4591159,4768937,4936346,5104041,5275543,5419434,5572915,5728572,5870254,5987693,6113013,6215175,6293411,6352124,6392806,NA,NA,NA
Afghanistan,"School age population, primary education, female (number)",853391,880632,910938,942234,971269,994976,1017086,1038679,1056427,1065976,1064252,1049643,1029978,1008492,988656,972385,962388,961328,972091,997870,1038209,1105889,1195943,1295325,1388522,1466430,1527674,1575443,1618483,1667671,1728944,1797354,1879747,1970777,2061544,2146234,2238138,2326496,2410347,2493251,2575718,2646302,2720187,2795198,2864617,2924287,2986428,3037922,3077327,3106230,3124776,NA,NA,NA
Afghanistan,"School age population, primary education, male (number)",880875,909358,941120,973951,1004698,1030292,1053946,1077476,1097455,1109378,1110028,1098134,1081420,1062827,1045525,1031349,1021271,1019393,1030127,1058639,1105326,1184484,1290562,1407242,1515078,1602934,1669616,1715123,1751002,1792129,1846659,1907221,1987119,2079059,2171191,2256237,2353021,2442441,2525999,2610790,2699825,2773132,2852728,2933374,3005637,3063406,3126585,3177253,3216084,3245894,3268030,NA,NA,NA
Afghanistan,"School age population, lower secondary education, both sexes (number)",737784,761846,786585,810950,835904,862128,881163,897998,910886,919396,923499,909944,890139,867620,847870,834559,822971,818964,827053,852442,896879,964265,1050344,1142575,1228440,1301633,1348990,1380953,1407331,1441963,1493607,1559806,1634119,1708991,1777029,1833216,1874134,1923948,1991759,2080621,2190495,2305796,2418762,2521276,2610459,2686051,2753066,2816005,2877829,2940772,3006368,NA,NA,NA
Afghanistan,"School age population, lower secondary education, female (number)",362272,374593,387003,398946,410978,423557,432701,440703,446697,450487,452080,444834,434324,422399,411898,404681,398844,396851,400643,412429,432887,463843,503098,545247,584941,619470,641770,657505,670909,688189,713290,746965,784437,822614,858166,888597,909382,934701,968875,1013201,1067521,1125716,1181767,1231431,1273925,1309789,1340417,1370215,1401143,1433867,1468590,NA,NA,NA
Afghanistan,"School age population, lower secondary education, male (number)",375512,387253,399582,412004,424926,438571,448462,457295,464189,468909,471419,465110,455815,445221,435972,429878,424127,422113,426410,440013,463992,500422,547246,597328,643499,682163,707220,723448,736422,753774,780317,812841,849682,886377,918863,944619,964752,989247,1022884,1067420,1122974,1180080,1236995,1289845,1336534,1376262,1412649,1445790,1476686,1506905,1537778,NA,NA,NA
